dataset,feature_name,availability_stage,recommended_policy,use_initial_strict,use_initial_relaxed,use_dynamic_model,use_factor_analysis,feature_role,leakage_risk,reason,review_decision,review_notes
US_Accidents,Zipcode,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,GEOGRAPHIC_CONTEXT,LOW,Existing geographic context available from incident location.,,
US_Accidents,Country,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,GEOGRAPHIC_CONTEXT,LOW,Existing geographic context available from incident location.,,
US_Accidents,Timezone,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,GEOGRAPHIC_CONTEXT,LOW,Existing geographic context available from incident location.,,
US_Accidents,Airport_Code,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,GEOGRAPHIC_CONTEXT,LOW,Existing geographic context available from incident location.,,
US_Accidents,Weather_Timestamp,T0_INITIAL,RELAXED_T0,NO,YES,YES,YES,WEATHER_METADATA,LOW,Use to calculate weather observation age; normally do not use the raw timestamp directly.,,
US_Accidents,Temperature(F),T0_INITIAL,STRICT_T0,YES,YES,YES,YES,ENVIRONMENT,LOW,Weather observation associated with incident start time.,,
US_Accidents,Wind_Chill(F),T0_INITIAL,STRICT_T0,YES,YES,YES,YES,ENVIRONMENT,LOW,Weather observation associated with incident start time.,,
US_Accidents,Humidity(%),T0_INITIAL,STRICT_T0,YES,YES,YES,YES,ENVIRONMENT,LOW,Weather observation associated with incident start time.,,
US_Accidents,Pressure(in),T0_INITIAL,STRICT_T0,YES,YES,YES,YES,ENVIRONMENT,LOW,Weather observation associated with incident start time.,,
US_Accidents,Visibility(mi),T0_INITIAL,STRICT_T0,YES,YES,YES,YES,ENVIRONMENT,LOW,Weather observation associated with incident start time.,,
US_Accidents,Wind_Direction,T0_INITIAL,STRICT_T0,YES,YES,YES,YES,ENVIRONMENT,LOW,Weather observation associated with incident start time.,,
US_Accidents,Wind_Speed(mph),T0_INITIAL,STRICT_T0,YES,YES,YES,YES,ENVIRONMENT,LOW,Weather observation associated with incident start time.,,
US_Accidents,Precipitation(in),T0_INITIAL,STRICT_T0,YES,YES,YES,YES,ENVIRONMENT,LOW,Weather observation associated with incident start time.,,
US_Accidents,Weather_Condition,T0_INITIAL,STRICT_T0,YES,YES,YES,YES,ENVIRONMENT,LOW,Weather observation associated with incident start time.,,
US_Accidents,Amenity,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,ROAD_CONTEXT,LOW,Road or nearby infrastructure context.,,
US_Accidents,Bump,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,ROAD_CONTEXT,LOW,Road or nearby infrastructure context.,,
US_Accidents,Crossing,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,ROAD_CONTEXT,LOW,Road or nearby infrastructure context.,,
US_Accidents,Give_Way,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,ROAD_CONTEXT,LOW,Road or nearby infrastructure context.,,
US_Accidents,Junction,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,ROAD_CONTEXT,LOW,Road or nearby infrastructure context.,,
US_Accidents,No_Exit,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,ROAD_CONTEXT,LOW,Road or nearby infrastructure context.,,
US_Accidents,Railway,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,ROAD_CONTEXT,LOW,Road or nearby infrastructure context.,,
US_Accidents,Roundabout,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,ROAD_CONTEXT,LOW,Road or nearby infrastructure context.,,
US_Accidents,Station,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,ROAD_CONTEXT,LOW,Road or nearby infrastructure context.,,
US_Accidents,Stop,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,ROAD_CONTEXT,LOW,Road or nearby infrastructure context.,,
US_Accidents,Traffic_Calming,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,ROAD_CONTEXT,LOW,Road or nearby infrastructure context.,,
US_Accidents,Traffic_Signal,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,ROAD_CONTEXT,LOW,Road or nearby infrastructure context.,,
US_Accidents,Turning_Loop,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,ROAD_CONTEXT,LOW,Road or nearby infrastructure context.,,
US_Accidents,Sunrise_Sunset,T0_INITIAL,STRICT_T0,YES,YES,YES,YES,LIGHTING_CONTEXT,LOW,Lighting or twilight condition at incident time.,,
US_Accidents,Civil_Twilight,T0_INITIAL,STRICT_T0,YES,YES,YES,YES,LIGHTING_CONTEXT,LOW,Lighting or twilight condition at incident time.,,
US_Accidents,Nautical_Twilight,T0_INITIAL,STRICT_T0,YES,YES,YES,YES,LIGHTING_CONTEXT,LOW,Lighting or twilight condition at incident time.,,
US_Accidents,Astronomical_Twilight,T0_INITIAL,STRICT_T0,YES,YES,YES,YES,LIGHTING_CONTEXT,LOW,Lighting or twilight condition at incident time.,,
Iowa_DOT,X,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,LOCATION,LOW,Incident coordinate; validate coordinate reference system.,,
Iowa_DOT,Y,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,LOCATION,LOW,Incident coordinate; validate coordinate reference system.,,
Iowa_DOT,OBJECTID,IDENTIFIER,EXCLUDE,NO,NO,NO,NO,IDENTIFIER,LOW,ArcGIS row identifier.,,
Iowa_DOT,CRASH_KEY,IDENTIFIER,EXCLUDE,NO,NO,NO,NO,IDENTIFIER,LOW,Crash identifier; retain for grouping only.,,
Iowa_DOT,CASENUMBER,IDENTIFIER,EXCLUDE,NO,NO,NO,NO,IDENTIFIER,LOW,Case identifier; retain for grouping only.,,
Iowa_DOT,LECASENUM,IDENTIFIER,EXCLUDE,NO,NO,NO,NO,IDENTIFIER,LOW,Law-enforcement case identifier.,,
Iowa_DOT,CRASH_DATE,T0_INITIAL,STRICT_T0,YES,YES,YES,YES,TEMPORAL,LOW,Crash date.,,
Iowa_DOT,CRASH_MONTH,T0_INITIAL,EXCLUDE,NO,NO,NO,NO,REDUNDANT_TEMPORAL,LOW,Derive month consistently from CRASH_DATETIME.,,
Iowa_DOT,CRASH_DAY,T0_INITIAL,EXCLUDE,NO,NO,NO,NO,REDUNDANT_TEMPORAL,LOW,Derive weekday/day consistently from CRASH_DATETIME.,,
Iowa_DOT,TIMESTR,T0_INITIAL,EXCLUDE,NO,NO,NO,NO,REDUNDANT_TEMPORAL,LOW,Use CRASH_DATETIME rather than duplicate time strings.,,
Iowa_DOT,DISTRICT,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,ROAD_OR_ENVIRONMENT_CONTEXT,LOW,"Road, location, lighting, weather, or work-zone context.",,
Iowa_DOT,COUNTY_NUMBER,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,ROAD_OR_ENVIRONMENT_CONTEXT,LOW,"Road, location, lighting, weather, or work-zone context.",,
Iowa_DOT,CITY_NUMBER,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,ROAD_OR_ENVIRONMENT_CONTEXT,LOW,"Road, location, lighting, weather, or work-zone context.",,
Iowa_DOT,SYSTEMSTR,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,ROAD_OR_ENVIRONMENT_CONTEXT,LOW,"Road, location, lighting, weather, or work-zone context.",,
Iowa_DOT,LITERAL,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,ROAD_OR_ENVIRONMENT_CONTEXT,LOW,"Road, location, lighting, weather, or work-zone context.",,
Iowa_DOT,FRSTHARM,REVIEW_REQUIRED,FACTOR_ANALYSIS_ONLY,NO,NO,NO,YES,FINAL_OR_INVESTIGATIVE_CHARACTERISTIC,HIGH,Field likely comes from the completed crash report. Do not use for strict initial prediction without confirmation.,,
Iowa_DOT,LOCFSTHRM,REVIEW_REQUIRED,FACTOR_ANALYSIS_ONLY,NO,NO,NO,YES,FINAL_OR_INVESTIGATIVE_CHARACTERISTIC,HIGH,Field likely comes from the completed crash report. Do not use for strict initial prediction without confirmation.,,
Iowa_DOT,CRCOMNNR,REVIEW_REQUIRED,FACTOR_ANALYSIS_ONLY,NO,NO,NO,YES,FINAL_OR_INVESTIGATIVE_CHARACTERISTIC,HIGH,Field likely comes from the completed crash report. Do not use for strict initial prediction without confirmation.,,
Iowa_DOT,MAJCSE,REVIEW_REQUIRED,FACTOR_ANALYSIS_ONLY,NO,NO,NO,YES,FINAL_OR_INVESTIGATIVE_CHARACTERISTIC,HIGH,Field likely comes from the completed crash report. Do not use for strict initial prediction without confirmation.,,
Iowa_DOT,DRUGALC,T2_FINAL,FACTOR_ANALYSIS_ONLY,NO,NO,NO,YES,INVESTIGATION_RESULT,HIGH,Often determined through later investigation.,,
Iowa_DOT,ECNTCRC,REVIEW_REQUIRED,FACTOR_ANALYSIS_ONLY,NO,NO,NO,YES,FINAL_OR_INVESTIGATIVE_CHARACTERISTIC,HIGH,Field likely comes from the completed crash report. Do not use for strict initial prediction without confirmation.,,
Iowa_DOT,LIGHT,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,ROAD_OR_ENVIRONMENT_CONTEXT,LOW,"Road, location, lighting, weather, or work-zone context.",,
Iowa_DOT,CSRFCND,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,ROAD_OR_ENVIRONMENT_CONTEXT,LOW,"Road, location, lighting, weather, or work-zone context.",,
Iowa_DOT,WEATHER,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,ROAD_OR_ENVIRONMENT_CONTEXT,LOW,"Road, location, lighting, weather, or work-zone context.",,
Iowa_DOT,RCNTCRC,REVIEW_REQUIRED,FACTOR_ANALYSIS_ONLY,NO,NO,NO,YES,FINAL_OR_INVESTIGATIVE_CHARACTERISTIC,HIGH,Field likely comes from the completed crash report. Do not use for strict initial prediction without confirmation.,,
Iowa_DOT,RDTYP,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,ROAD_OR_ENVIRONMENT_CONTEXT,LOW,"Road, location, lighting, weather, or work-zone context.",,
Iowa_DOT,PAVED,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,ROAD_OR_ENVIRONMENT_CONTEXT,LOW,"Road, location, lighting, weather, or work-zone context.",,
Iowa_DOT,WZRELATED,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,ROAD_OR_ENVIRONMENT_CONTEXT,LOW,"Road, location, lighting, weather, or work-zone context.",,
Iowa_DOT,CSEV,REVIEW_REQUIRED,REVIEW,NO,NO,NO,NO,CRASH_SEVERITY,HIGH,May represent final crash severity. Exclude in strict T0 and verify before dynamic use.,,
Iowa_DOT,FATALITIES,T2_FINAL,FACTOR_ANALYSIS_ONLY,NO,NO,NO,YES,FINAL_OUTCOME,HIGH,Final crash outcome; may not be known initially.,,
Iowa_DOT,INJURIES,T1_DYNAMIC,DYNAMIC_ONLY,NO,NO,YES,YES,INCIDENT_OUTCOME,MEDIUM,May be confirmed during response rather than at notification.,,
Iowa_DOT,MAJINJURY,T2_FINAL,FACTOR_ANALYSIS_ONLY,NO,NO,NO,YES,FINAL_OUTCOME,HIGH,Final injury classification.,,
Iowa_DOT,MININJURY,T2_FINAL,FACTOR_ANALYSIS_ONLY,NO,NO,NO,YES,FINAL_OUTCOME,HIGH,Final injury classification.,,
Iowa_DOT,POSSINJURY,T1_DYNAMIC,DYNAMIC_ONLY,NO,NO,YES,YES,INCIDENT_OUTCOME,MEDIUM,Possible injury information may emerge during response.,,
Iowa_DOT,UNKINJURY,T2_FINAL,FACTOR_ANALYSIS_ONLY,NO,NO,NO,YES,FINAL_OUTCOME,HIGH,Final report classification.,,
Iowa_DOT,PROPDMG,T2_FINAL,FACTOR_ANALYSIS_ONLY,NO,NO,NO,YES,FINAL_OUTCOME,HIGH,Final property-damage estimate.,,
Iowa_DOT,VEHICLES,T1_DYNAMIC,DYNAMIC_ONLY,NO,NO,YES,YES,INCIDENT_CHARACTERISTIC,MEDIUM,Exact vehicle count may require scene confirmation.,,
Iowa_DOT,TOCCUPANTS,T1_DYNAMIC,DYNAMIC_ONLY,NO,NO,YES,YES,INCIDENT_CHARACTERISTIC,MEDIUM,Occupant count may require scene confirmation.,,
Iowa_DOT,REPORT,REVIEW_REQUIRED,REVIEW,NO,NO,NO,NO,REPORT_METADATA,MEDIUM,Meaning requires Iowa data dictionary.,,
Iowa_DOT,XCOORD,STATIC_CONTEXT,REVIEW,NO,NO,NO,NO,LOCATION_DUPLICATE,LOW,Possible duplicate coordinate representation. Select either X/Y or XCOORD/YCOORD after coordinate validation.,,
Iowa_DOT,YCOORD,STATIC_CONTEXT,REVIEW,NO,NO,NO,NO,LOCATION_DUPLICATE,LOW,Possible duplicate coordinate representation. Select either X/Y or XCOORD/YCOORD after coordinate validation.,,
Iowa_DOT,REST_UPDATED,METADATA,EXCLUDE,NO,NO,NO,NO,DATABASE_METADATA,CRITICAL,Database update time; not roadway-clearance time.,,
Iowa_DOT,REST_UPDATE_UTC_OFFSET,METADATA,EXCLUDE,NO,NO,NO,NO,DATABASE_METADATA,HIGH,REST update metadata.,,
Iowa_DOT,CRASH_DATETIME,T0_INITIAL,STRICT_T0,YES,YES,YES,YES,TEMPORAL,LOW,Primary crash timestamp.,,
Iowa_DOT,CRASH_DATETIME_UTC,T0_INITIAL,EXCLUDE,NO,NO,NO,NO,REDUNDANT_TEMPORAL,LOW,Use one canonical time representation; avoid both local and UTC timestamps as predictors.,,
Iowa_DOT,CRASH_DATETIME_UTC_OFFSET,METADATA,EXCLUDE,NO,NO,NO,NO,TIME_METADATA,LOW,Timezone conversion metadata.,,
Iowa_DOT,CITY_NAME,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,ROAD_OR_ENVIRONMENT_CONTEXT,LOW,"Road, location, lighting, weather, or work-zone context.",,
Iowa_DOT,COUNTY_NAME,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,ROAD_OR_ENVIRONMENT_CONTEXT,LOW,"Road, location, lighting, weather, or work-zone context.",,
Iowa_DOT,CARDINAL,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,ROAD_OR_ENVIRONMENT_CONTEXT,LOW,"Road, location, lighting, weather, or work-zone context.",,
Iowa_DOT,GLOBALID,IDENTIFIER,EXCLUDE,NO,NO,NO,NO,IDENTIFIER,LOW,Global database identifier.,,
