ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),Description,Street,City,County,State,Timezone,Weather_Timestamp,Temperature(F),Humidity(%),Visibility(mi),Precipitation(in),Weather_Condition,Junction,Traffic_Signal,Sunrise_Sunset,Start_Time_parsed,End_Time_parsed,reported_duration_minutes,dataset_source,target_name,target_definition,duration_missing,duration_negative,duration_zero,duration_below_minimum,duration_requires_review,valid_initial_duration,event_year,event_month,event_day_of_week,event_hour,is_weekend,description_normalized,description_length,description_missing,duplicate_signature
A-3581277,Source1,3,2017-03-17 17:30:59,2017-03-17 23:30:59,41.85749000000001,-88.14414000000002,0.0,At County Farm Rd - Accident., W Roosevelt Rd,Wheaton,DuPage,IL,US/Central,2017-03-17 17:17:00,50.0,71.0,6.0,,Haze,False,False,Day,2017-03-17 17:30:59,2017-03-17 23:30:59,360.0,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2017.0,3.0,4.0,17.0,False,at county farm rd - accident.,29,False,Source1|2017-03-17 17:30:59|2017-03-17 23:30:59|41.85749000000001|-88.14414000000002| W Roosevelt Rd|at county farm rd - accident.
A-3581278,Source1,3,2017-03-17 17:30:59,2017-03-17 23:30:59,41.85749000000001,-88.14414000000002,0.0,At County Farm Rd - Accident., W Roosevelt Rd,Wheaton,DuPage,IL,US/Central,2017-03-17 17:17:00,50.0,71.0,6.0,,Haze,False,False,Day,2017-03-17 17:30:59,2017-03-17 23:30:59,360.0,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2017.0,3.0,4.0,17.0,False,at county farm rd - accident.,29,False,Source1|2017-03-17 17:30:59|2017-03-17 23:30:59|41.85749000000001|-88.14414000000002| W Roosevelt Rd|at county farm rd - accident.
A-3584664,Source1,2,2017-03-29 12:16:10,2017-03-29 18:16:10,28.67702,-82.55225,0.0,At Wood Owl Ave - Accident.,Wood Owl Ave,Brooksville,Hernando,FL,US/Eastern,2017-03-29 11:53:00,82.0,51.0,10.0,,Clear,False,False,Day,2017-03-29 12:16:10,2017-03-29 18:16:10,360.0,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2017.0,3.0,2.0,12.0,False,at wood owl ave - accident.,27,False,Source1|2017-03-29 12:16:10|2017-03-29 18:16:10|28.67702|-82.55225|Wood Owl Ave|at wood owl ave - accident.
A-3584662,Source1,2,2017-03-29 12:16:10,2017-03-29 18:16:10,28.67702,-82.55225,0.0,At Wood Owl Ave - Accident.,Wood Owl Ave,Brooksville,Hernando,FL,US/Eastern,2017-03-29 11:53:00,82.0,51.0,10.0,,Clear,False,False,Day,2017-03-29 12:16:10,2017-03-29 18:16:10,360.0,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2017.0,3.0,2.0,12.0,False,at wood owl ave - accident.,27,False,Source1|2017-03-29 12:16:10|2017-03-29 18:16:10|28.67702|-82.55225|Wood Owl Ave|at wood owl ave - accident.
A-3585815,Source1,2,2017-04-03 08:03:46,2017-04-03 14:03:46,35.23301,-80.87625,0.0,At Berryhill Rd - Accident.,Berryhill Rd,Charlotte,Mecklenburg,NC,US/Eastern,2017-04-03 07:52:00,57.9,84.0,10.0,0.0,Light Rain,False,True,Day,2017-04-03 08:03:46,2017-04-03 14:03:46,360.0,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2017.0,4.0,0.0,8.0,False,at berryhill rd - accident.,27,False,Source1|2017-04-03 08:03:46|2017-04-03 14:03:46|35.23301|-80.87625|Berryhill Rd|at berryhill rd - accident.
A-3585816,Source1,2,2017-04-03 08:03:46,2017-04-03 14:03:46,35.23301,-80.87625,0.0,At Berryhill Rd - Accident.,Berryhill Rd,Charlotte,Mecklenburg,NC,US/Eastern,2017-04-03 07:52:00,57.9,84.0,10.0,0.0,Light Rain,False,True,Day,2017-04-03 08:03:46,2017-04-03 14:03:46,360.0,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2017.0,4.0,0.0,8.0,False,at berryhill rd - accident.,27,False,Source1|2017-04-03 08:03:46|2017-04-03 14:03:46|35.23301|-80.87625|Berryhill Rd|at berryhill rd - accident.
A-7637773,Source1,2,2018-01-25 11:54:15,2018-01-25 12:24:15,40.531196,-74.380275,0.022,At Talmadge Rd/Sturgis Rd - Accident.,State Route 27,Edison,Middlesex,NJ,US/Eastern,2018-01-25 11:55:00,32.4,31.0,10.0,,Clear,False,True,Day,2018-01-25 11:54:15,2018-01-25 12:24:15,30.0,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2018.0,1.0,3.0,11.0,False,at talmadge rd/sturgis rd - accident.,37,False,Source1|2018-01-25 11:54:15|2018-01-25 12:24:15|40.531196|-74.380275|State Route 27|at talmadge rd/sturgis rd - accident.
A-7637769,Source1,2,2018-01-25 11:54:15,2018-01-25 12:24:15,40.531196,-74.380275,0.022,At Talmadge Rd/Sturgis Rd - Accident.,State Route 27,Edison,Middlesex,NJ,US/Eastern,2018-01-25 11:55:00,32.4,31.0,10.0,,Clear,False,True,Day,2018-01-25 11:54:15,2018-01-25 12:24:15,30.0,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2018.0,1.0,3.0,11.0,False,at talmadge rd/sturgis rd - accident.,37,False,Source1|2018-01-25 11:54:15|2018-01-25 12:24:15|40.531196|-74.380275|State Route 27|at talmadge rd/sturgis rd - accident.
A-7600192,Source1,4,2018-03-01 05:25:20,2018-03-01 11:25:20,46.10669,-123.20672,0.0,Closed at OR-47 - Road closed due to accident., Highway 30,Clatskanie,Columbia,OR,US/Pacific,2018-03-01 04:56:00,39.0,96.0,10.0,,Mostly Cloudy,False,False,Night,2018-03-01 05:25:20,2018-03-01 11:25:20,360.0,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2018.0,3.0,3.0,5.0,False,closed at or-47 - road closed due to accident.,46,False,Source1|2018-03-01 05:25:20|2018-03-01 11:25:20|46.10669|-123.20672| Highway 30|closed at or-47 - road closed due to accident.
A-7600191,Source1,4,2018-03-01 05:25:20,2018-03-01 11:25:20,46.10669,-123.20672,0.0,Closed at OR-47 - Road closed due to accident., Highway 30,Clatskanie,Columbia,OR,US/Pacific,2018-03-01 04:56:00,39.0,96.0,10.0,,Mostly Cloudy,False,False,Night,2018-03-01 05:25:20,2018-03-01 11:25:20,360.0,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2018.0,3.0,3.0,5.0,False,closed at or-47 - road closed due to accident.,46,False,Source1|2018-03-01 05:25:20|2018-03-01 11:25:20|46.10669|-123.20672| Highway 30|closed at or-47 - road closed due to accident.
A-7608414,Source1,2,2018-03-21 05:49:25,2018-03-21 06:19:25,35.65909600000001,-101.409284,0.023,At Carbon Rd - Accident., W Wilson St,Borger,Hutchinson,TX,US/Central,2018-03-21 05:51:00,36.0,64.0,10.0,,Clear,False,False,Night,2018-03-21 05:49:25,2018-03-21 06:19:25,30.0,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2018.0,3.0,2.0,5.0,False,at carbon rd - accident.,24,False,Source1|2018-03-21 05:49:25|2018-03-21 06:19:25|35.65909600000001|-101.409284| W Wilson St|at carbon rd - accident.
A-7608412,Source1,2,2018-03-21 05:49:25,2018-03-21 06:19:25,35.65909600000001,-101.409284,0.001,At Carbon Rd - Accident., W Wilson St,Borger,Hutchinson,TX,US/Central,2018-03-21 05:51:00,36.0,64.0,10.0,,Clear,False,False,Night,2018-03-21 05:49:25,2018-03-21 06:19:25,30.0,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2018.0,3.0,2.0,5.0,False,at carbon rd - accident.,24,False,Source1|2018-03-21 05:49:25|2018-03-21 06:19:25|35.65909600000001|-101.409284| W Wilson St|at carbon rd - accident.
A-7585726,Source1,2,2018-05-23 22:56:22,2018-05-24 04:56:22,35.15164,-80.84163000000002,0.0,At Park South Dr - Accident.,Park South Dr,Charlotte,Mecklenburg,NC,US/Eastern,2018-05-23 22:52:00,75.9,87.0,10.0,,Mostly Cloudy,False,True,Night,2018-05-23 22:56:22,2018-05-24 04:56:22,360.0,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2018.0,5.0,2.0,22.0,False,at park south dr - accident.,28,False,Source1|2018-05-23 22:56:22|2018-05-24 04:56:22|35.15164|-80.84163000000002|Park South Dr|at park south dr - accident.
A-7585724,Source1,2,2018-05-23 22:56:22,2018-05-24 04:56:22,35.15164,-80.84163000000002,0.0,At Park South Dr - Accident.,Park South Dr,Charlotte,Mecklenburg,NC,US/Eastern,2018-05-23 22:52:00,75.9,87.0,10.0,,Mostly Cloudy,False,True,Night,2018-05-23 22:56:22,2018-05-24 04:56:22,360.0,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2018.0,5.0,2.0,22.0,False,at park south dr - accident.,28,False,Source1|2018-05-23 22:56:22|2018-05-24 04:56:22|35.15164|-80.84163000000002|Park South Dr|at park south dr - accident.
A-7493618,Source1,2,2018-10-22 09:30:00,2018-11-30 15:00:00,38.8656,-77.27469,0.229,Between US-29/VA-237/Old Lee Hwy and St Regents Dr - Accident. Right lane blocked., Lee Hwy,Fairfax,Fairfax City,VA,US/Eastern,2018-10-22 09:56:00,46.6,68.0,10.0,,Clear,False,False,Day,2018-10-22 09:30:00,2018-11-30 15:00:00,56490.0,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,True,True,2018.0,10.0,0.0,9.0,False,between us-29/va-237/old lee hwy and st regents dr - accident. right lane blocked.,82,False,Source1|2018-10-22 09:30:00|2018-11-30 15:00:00|38.8656|-77.27469| Lee Hwy|between us-29/va-237/old lee hwy and st regents dr - accident. right lane blocked.
A-7501187,Source1,2,2018-10-22 09:30:00,2018-11-30 15:00:00,38.8656,-77.27469,0.229,Between US-29/VA-237/Old Lee Hwy and St Regents Dr - Accident. Right lane blocked., Lee Hwy,Fairfax,Fairfax City,VA,US/Eastern,2018-10-22 09:56:00,46.6,68.0,10.0,,Clear,False,False,Day,2018-10-22 09:30:00,2018-11-30 15:00:00,56490.0,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,True,True,2018.0,10.0,0.0,9.0,False,between us-29/va-237/old lee hwy and st regents dr - accident. right lane blocked.,82,False,Source1|2018-10-22 09:30:00|2018-11-30 15:00:00|38.8656|-77.27469| Lee Hwy|between us-29/va-237/old lee hwy and st regents dr - accident. right lane blocked.
A-7479962,Source1,2,2018-12-10 18:38:04,2018-12-10 19:07:48,35.220689,-80.845345,0.0,At I-277/US-74/Brevard St/Caldwell St - Accident., E Stonewall St,Charlotte,Mecklenburg,NC,US/Eastern,2018-12-10 18:52:00,37.9,53.0,10.0,,Overcast,False,True,Night,2018-12-10 18:38:04,2018-12-10 19:07:48,29.733333333333334,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2018.0,12.0,0.0,18.0,False,at i-277/us-74/brevard st/caldwell st - accident.,49,False,Source1|2018-12-10 18:38:04|2018-12-10 19:07:48|35.220689|-80.845345| E Stonewall St|at i-277/us-74/brevard st/caldwell st - accident.
A-7479964,Source1,2,2018-12-10 18:38:04,2018-12-10 19:07:48,35.220689,-80.845345,0.0,At I-277/US-74/Brevard St/Caldwell St - Accident., E Stonewall St,Charlotte,Mecklenburg,NC,US/Eastern,2018-12-10 18:52:00,37.9,53.0,10.0,,Overcast,False,True,Night,2018-12-10 18:38:04,2018-12-10 19:07:48,29.733333333333334,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2018.0,12.0,0.0,18.0,False,at i-277/us-74/brevard st/caldwell st - accident.,49,False,Source1|2018-12-10 18:38:04|2018-12-10 19:07:48|35.220689|-80.845345| E Stonewall St|at i-277/us-74/brevard st/caldwell st - accident.
A-7481926,Source1,2,2018-12-12 16:58:00,2018-12-12 17:27:50,29.18635,-82.23716999999998,0.0,At 71st Ave - Accident., W Highway 40,Ocala,Marion,FL,US/Eastern,2018-12-12 16:51:00,62.1,56.0,10.0,,Clear,False,False,Day,2018-12-12 16:58:00,2018-12-12 17:27:50,29.833333333333332,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2018.0,12.0,2.0,16.0,False,at 71st ave - accident.,23,False,Source1|2018-12-12 16:58:00|2018-12-12 17:27:50|29.18635|-82.23716999999998| W Highway 40|at 71st ave - accident.
A-7481928,Source1,2,2018-12-12 16:58:00,2018-12-12 17:27:50,29.18635,-82.23716999999998,0.0,At 71st Ave - Accident., W Highway 40,Ocala,Marion,FL,US/Eastern,2018-12-12 16:51:00,62.1,56.0,10.0,,Clear,False,False,Day,2018-12-12 16:58:00,2018-12-12 17:27:50,29.833333333333332,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2018.0,12.0,2.0,16.0,False,at 71st ave - accident.,23,False,Source1|2018-12-12 16:58:00|2018-12-12 17:27:50|29.18635|-82.23716999999998| W Highway 40|at 71st ave - accident.
A-7482095,Source1,2,2018-12-12 17:10:51,2018-12-12 17:40:24,30.41678,-87.28321,0.0,At Frances Dr - Accident., W Jackson St,Pensacola,Escambia,FL,US/Central,2018-12-12 16:56:00,57.9,81.0,10.0,,Overcast,False,False,Night,2018-12-12 17:10:51,2018-12-12 17:40:24,29.55,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2018.0,12.0,2.0,17.0,False,at frances dr - accident.,25,False,Source1|2018-12-12 17:10:51|2018-12-12 17:40:24|30.41678|-87.28321| W Jackson St|at frances dr - accident.
A-7482094,Source1,2,2018-12-12 17:10:51,2018-12-12 17:40:24,30.41678,-87.28321,0.0,At Frances Dr - Accident., W Jackson St,Pensacola,Escambia,FL,US/Central,2018-12-12 16:56:00,57.9,81.0,10.0,,Overcast,False,False,Night,2018-12-12 17:10:51,2018-12-12 17:40:24,29.55,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2018.0,12.0,2.0,17.0,False,at frances dr - accident.,25,False,Source1|2018-12-12 17:10:51|2018-12-12 17:40:24|30.41678|-87.28321| W Jackson St|at frances dr - accident.
A-7715459,Source1,3,2019-04-27 22:42:59,2019-04-27 23:11:27,39.97167,-104.98801,1.088,At E-470/Northwest Pky - Accident.,US-87 N,Broomfield,Adams,CO,US/Mountain,2019-04-27 22:36:00,51.0,58.0,10.0,0.0,Partly Cloudy,True,False,Night,2019-04-27 22:42:59,2019-04-27 23:11:27,28.466666666666665,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2019.0,4.0,5.0,22.0,True,at e-470/northwest pky - accident.,34,False,Source1|2019-04-27 22:42:59|2019-04-27 23:11:27|39.97167|-104.98801|US-87 N|at e-470/northwest pky - accident.
A-7715460,Source1,3,2019-04-27 22:42:59,2019-04-27 23:11:27,39.97167,-104.98801,1.088,At E-470/Northwest Pky - Accident.,US-87 N,Broomfield,Adams,CO,US/Mountain,2019-04-27 22:36:00,51.0,58.0,10.0,0.0,Partly Cloudy,True,False,Night,2019-04-27 22:42:59,2019-04-27 23:11:27,28.466666666666665,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2019.0,4.0,5.0,22.0,True,at e-470/northwest pky - accident.,34,False,Source1|2019-04-27 22:42:59|2019-04-27 23:11:27|39.97167|-104.98801|US-87 N|at e-470/northwest pky - accident.
A-7762490,Source1,2,2019-07-22 13:22:02,2019-07-22 13:51:27,33.8952,-118.26525,0.0,At Compton Blvd - Accident., S Avalon Blvd,Gardena,Los Angeles,CA,US/Pacific,2019-07-22 12:53:00,78.0,56.0,10.0,0.0,Fair,False,True,Day,2019-07-22 13:22:02,2019-07-22 13:51:27,29.416666666666668,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2019.0,7.0,0.0,13.0,False,at compton blvd - accident.,27,False,Source1|2019-07-22 13:22:02|2019-07-22 13:51:27|33.8952|-118.26525| S Avalon Blvd|at compton blvd - accident.
A-7762492,Source1,2,2019-07-22 13:22:02,2019-07-22 13:51:27,33.8952,-118.26525,0.0,At Compton Blvd - Accident., S Avalon Blvd,Gardena,Los Angeles,CA,US/Pacific,2019-07-22 12:53:00,78.0,56.0,10.0,0.0,Fair,False,True,Day,2019-07-22 13:22:02,2019-07-22 13:51:27,29.416666666666668,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2019.0,7.0,0.0,13.0,False,at compton blvd - accident.,27,False,Source1|2019-07-22 13:22:02|2019-07-22 13:51:27|33.8952|-118.26525| S Avalon Blvd|at compton blvd - accident.
A-7768395,Source1,2,2019-08-03 11:29:21,2019-08-03 15:29:21,45.591772,-118.540018,1.5630000000000002,At Evergreen Ln/Exit 228 - Accident.,I-84 W,Pendleton,Umatilla,OR,US/Pacific,2019-08-03 11:53:00,80.0,36.0,10.0,0.0,Fair,False,False,Day,2019-08-03 11:29:21,2019-08-03 15:29:21,240.0,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2019.0,8.0,5.0,11.0,True,at evergreen ln/exit 228 - accident.,36,False,Source1|2019-08-03 11:29:21|2019-08-03 15:29:21|45.591772|-118.540018|I-84 W|at evergreen ln/exit 228 - accident.
A-7768396,Source1,2,2019-08-03 11:29:21,2019-08-03 15:29:21,45.591772,-118.540018,1.5630000000000002,At Evergreen Ln/Exit 228 - Accident.,I-84 W,Pendleton,Umatilla,OR,US/Pacific,2019-08-03 11:53:00,80.0,36.0,10.0,0.0,Fair,False,False,Day,2019-08-03 11:29:21,2019-08-03 15:29:21,240.0,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2019.0,8.0,5.0,11.0,True,at evergreen ln/exit 228 - accident.,36,False,Source1|2019-08-03 11:29:21|2019-08-03 15:29:21|45.591772|-118.540018|I-84 W|at evergreen ln/exit 228 - accident.
A-7770922,Source1,3,2019-08-09 06:59:49,2019-08-09 11:54:04,39.432538,-108.072292,10.791,At De Beque Cutoff Rd/Exit 62 - Overturned heavy truck. Lane blocked.,US-6 W,Parachute,Garfield,CO,US/Mountain,2019-08-09 06:53:00,60.0,72.0,10.0,0.0,Partly Cloudy,False,False,Day,2019-08-09 06:59:49,2019-08-09 11:54:04,294.25,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2019.0,8.0,4.0,6.0,False,at de beque cutoff rd/exit 62 - overturned heavy truck. lane blocked.,69,False,Source1|2019-08-09 06:59:49|2019-08-09 11:54:04|39.432538|-108.072292|US-6 W|at de beque cutoff rd/exit 62 - overturned heavy truck. lane blocked.
A-7770949,Source1,3,2019-08-09 06:59:49,2019-08-09 11:54:04,39.432538,-108.072292,10.791,At De Beque Cutoff Rd/Exit 62 - Overturned heavy truck. Lane blocked.,US-6 W,Parachute,Garfield,CO,US/Mountain,2019-08-09 06:53:00,60.0,72.0,10.0,0.0,Partly Cloudy,False,False,Day,2019-08-09 06:59:49,2019-08-09 11:54:04,294.25,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2019.0,8.0,4.0,6.0,False,at de beque cutoff rd/exit 62 - overturned heavy truck. lane blocked.,69,False,Source1|2019-08-09 06:59:49|2019-08-09 11:54:04|39.432538|-108.072292|US-6 W|at de beque cutoff rd/exit 62 - overturned heavy truck. lane blocked.
A-7775832,Source1,2,2019-08-20 17:46:19,2019-08-20 18:15:45,35.746663,-78.775295,0.5,At Cary Pky - Accident. Right lane blocked.,Claude E Pope Memorial Hwy N,Cary,Wake,NC,US/Eastern,2019-08-20 17:51:00,89.0,55.0,10.0,0.0,Mostly Cloudy,False,False,Day,2019-08-20 17:46:19,2019-08-20 18:15:45,29.433333333333334,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2019.0,8.0,1.0,17.0,False,at cary pky - accident. right lane blocked.,43,False,Source1|2019-08-20 17:46:19|2019-08-20 18:15:45|35.746663|-78.775295|Claude E Pope Memorial Hwy N|at cary pky - accident. right lane blocked.
A-7775829,Source1,2,2019-08-20 17:46:19,2019-08-20 18:15:45,35.746663,-78.775295,0.5,At Cary Pky - Accident. Right lane blocked.,Claude E Pope Memorial Hwy N,Cary,Wake,NC,US/Eastern,2019-08-20 17:51:00,89.0,55.0,10.0,0.0,Mostly Cloudy,False,False,Day,2019-08-20 17:46:19,2019-08-20 18:15:45,29.433333333333334,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2019.0,8.0,1.0,17.0,False,at cary pky - accident. right lane blocked.,43,False,Source1|2019-08-20 17:46:19|2019-08-20 18:15:45|35.746663|-78.775295|Claude E Pope Memorial Hwy N|at cary pky - accident. right lane blocked.
