ID,Source,Severity,Start_Time_parsed,End_Time_parsed,reported_duration_minutes,Description,Street,City,County,State,event_year,split
A-3996914,Source1,2,2022-01-11 05:49:00,2023-01-11 07:34:00,525705.0,Incident on US-90-BR EB near I-10 Left lane blocked.,Pontchartrain Expy E,New Orleans,Orleans,LA,2022.0,calibration
A-5534294,Source1,2,2021-05-29 01:05:00,2022-05-29 02:50:00,525705.0,Incident on I-10 EB near ELTON RD Drive with caution.,I-10,Welsh,Jefferson Davis,LA,2021.0,validation
A-4297530,Source1,2,2022-01-31 14:52:00,2023-01-31 16:37:00,525705.0,Construction on LA-347 NB near MARTHA HEBERT RD Road closed. Take alternate route.,Grand Point Hwy,Breaux Bridge,St. Martin,LA,2022.0,calibration
A-6209538,Source1,2,2021-12-04 10:05:00,2022-12-04 11:50:00,525705.0,Incident on I-10 WB near CALCASIEU RIVER Expect long delays.,I-10 W,Lake Charles,Calcasieu,LA,2021.0,validation
A-4411126,Source1,2,2022-02-03 12:13:00,2023-02-03 13:58:00,525705.0,Incident on I-10 WB near SAINT BERNARD AVE Drive with caution.,I-10,New Orleans,Orleans,LA,2022.0,calibration
A-6690031,Source1,2,2020-12-29 12:45:00,2021-12-29 14:30:00,525705.0,Incident on I-20 EB near LA-154 Left lane blocked.,I-20 E,Gibsland,Bienville,LA,2020.0,train
A-5717182,Source1,2,2021-12-01 17:18:00,2022-12-01 19:03:00,525705.0,Incident on I-10 WB near VERDINE BAYOU Left lane blocked.,I-10 W,Westlake,Calcasieu,LA,2021.0,validation
A-6595787,Source1,2,2020-09-13 20:20:00,2021-09-13 22:05:00,525705.0,Construction on I-10 EB near MISSISSIPPI RIVER Road closed. Take alternate route.,I-10 E,Baton Rouge,East Baton Rouge,LA,2020.0,train
A-6837527,Source1,2,2020-11-17 13:48:00,2021-11-17 15:33:00,525705.0,Incident on I-12 WB near LA-447 Right lane blocked. Expect delays.,I-12 W,Walker,Livingston,LA,2020.0,train
A-6870457,Source1,2,2020-11-17 06:47:00,2021-11-17 08:32:00,525705.0,Incident on I-10 EB near MORRISON RD Drive with caution.,I-10 E,New Orleans,Orleans,LA,2020.0,train
A-5944702,Source1,2,2021-08-21 14:54:00,2022-08-21 16:39:00,525705.0,Incident on LA-1 SB near LA-523 Left lane blocked., Youree Dr,Shreveport,Caddo,LA,2021.0,validation
A-5675791,Source1,2,2021-10-23 10:08:00,2022-10-23 11:53:00,525705.0,Incident on US-90-BR WB near LOYOLA AVE Right lane blocked. Expect delays.,Pontchartrain Expy,New Orleans,Orleans,LA,2021.0,validation
A-5986230,Source1,2,2021-11-24 17:44:00,2022-11-24 19:29:00,525705.0,Construction on US-61 SB near I-10 Road closed. Take alternate route.,US-61,St Amant,Ascension,LA,2021.0,validation
A-6831335,Source1,2,2020-12-21 23:14:00,2021-12-22 00:59:00,525705.0,Incident on I-20 EB near LA-157 Left lane blocked.,I-20 E,Haughton,Bossier,LA,2020.0,train
A-4785479,Source1,2,2022-03-19 20:06:00,2023-03-19 21:51:00,525705.0,Incident on US-90 EB near THALIA ST Expect long delays.,S Claiborne Ave,New Orleans,Orleans,LA,2022.0,calibration
A-6501428,Source1,2,2021-01-16 12:45:00,2022-01-16 14:30:00,525705.0,Incident on I-610 EB near LONDON AVE CANAL Drive with caution.,I-610 E,New Orleans,Orleans,LA,2021.0,validation
A-4636883,Source1,2,2022-02-05 22:27:00,2023-02-06 00:12:00,525705.0,Incident on US-90-BR EB near WESTBANK EXPY HOV LN Right lane blocked. Expect delays., Bodenger Blvd,New Orleans,Orleans,LA,2022.0,calibration
A-6684888,Source1,2,2020-12-18 00:06:00,2021-12-18 01:51:00,525705.0,Incident on US-71 SB near LA-496 Left lane blocked.,N MacArthur Dr,Alexandria,Rapides,LA,2020.0,train
A-5624544,Source1,4,2021-06-04 14:14:00,2022-06-04 15:59:00,525705.0,Construction on I-10 WB near CALCASIEU RIVER Road closed. Take alternate route., Front St,Lake Charles,Calcasieu,LA,2021.0,validation
A-5703641,Source1,2,2021-07-25 03:49:00,2022-07-25 05:34:00,525705.0,Incident on I-10 EB near I-510 Drive with caution.,I-10,New Orleans,Orleans,LA,2021.0,validation
A-5065513,Source1,2,2022-01-10 08:55:00,2023-01-10 10:40:00,525705.0,Construction on I-20 EB near CLARKE BAYOU Road closed. Take alternate route.,I-20,Minden,Webster,LA,2022.0,calibration
A-6133714,Source1,4,2021-06-09 17:30:00,2022-06-09 19:15:00,525705.0,Construction on I-220 EB near TWELVEMILE BAYOU Road closed. Take alternate route.,I-220,Bossier City,Bossier,LA,2021.0,validation
A-5492571,Source1,2,2021-09-25 07:48:00,2022-09-25 09:33:00,525705.0,Incident on I-10 WB near ACADIA LAFAYETTE PARISH LINE Right lane blocked. Expect delays.,I-10 W,Scott,Lafayette,LA,2021.0,validation
A-5918302,Source1,2,2021-05-10 17:41:00,2022-05-10 19:26:00,525705.0,Incident on I-220 WB near TWELVEMILE BAYOU Left lane blocked.,I-220,Shreveport,Caddo,LA,2021.0,validation
A-6193823,Source1,2,2021-12-04 06:56:00,2022-12-04 08:41:00,525705.0,Incident on I-12 WB near BLOOD RIVER Right lane blocked. Expect delays.,I-12 W,Holden,Livingston,LA,2021.0,validation
A-6574083,Source1,2,2020-12-31 19:00:00,2021-12-31 20:45:00,525705.0,Incident on I-20 WB near FLAT RIVER Left lane blocked.,I-20 W,Bossier City,Bossier,LA,2020.0,train
A-6306711,Source1,2,2021-07-01 12:51:00,2022-07-01 14:36:00,525705.0,Construction on I-210 WB near CAMERON (LA-14) Road closed. Take alternate route.,I-210,Lake Charles,Calcasieu,LA,2021.0,validation
A-5624598,Source1,2,2021-11-02 15:01:00,2022-11-02 16:46:00,525705.0,Incident on I-10 EB near LA-77 Right lane blocked. Expect delays.,Sidney Rd,Grosse Tete,Iberville,LA,2021.0,validation
A-6791552,Source1,2,2020-10-28 23:40:00,2021-10-29 01:25:00,525705.0,Incident on I-220 EB near LA-173 Left lane blocked.,Lakeshore Dr,Shreveport,Caddo,LA,2020.0,train
A-5569332,Source1,2,2021-07-29 07:02:00,2022-07-29 08:47:00,525705.0,Incident on I-12 WB near LA-43 Right lane blocked. Expect delays.,I-12 W,Hammond,Tangipahoa,LA,2021.0,validation
A-5719316,Source1,2,2021-08-10 21:31:00,2022-08-10 23:16:00,525705.0,Incident on I-10 EB near LA-99 Right lane blocked. Expect delays.,I-10,Iowa,Jefferson Davis,LA,2021.0,validation
A-6600252,Source1,2,2020-10-17 17:46:00,2021-10-17 19:31:00,525705.0,Incident on I-10 WB near GROSSE TETE (LA-77) Left lane blocked.,I-10 W,Port Allen,West Baton Rouge,LA,2020.0,train
A-6106262,Source1,2,2021-08-15 15:34:00,2022-08-15 17:19:00,525705.0,Construction on I-10 WB near COLLEGE DR Road closed. Take alternate route.,I-10,Baton Rouge,East Baton Rouge,LA,2021.0,validation
A-6144170,Source1,2,2021-05-09 17:00:00,2022-05-09 18:45:00,525705.0,Construction on I-10 EB near LOYOLA DRIVE Road closed. Take alternate route.,I-10,Kenner,Jefferson,LA,2021.0,validation
A-6715030,Source1,2,2020-09-15 00:12:00,2021-09-15 01:57:00,525705.0,Incident on I-10 EB near CONWAY BAYOU Right lane blocked. Expect delays.,I-10 E,Garyville,St. John the Baptist,LA,2020.0,train
A-4703013,Source1,2,2022-02-02 08:59:00,2023-02-02 10:44:00,525705.0,Incident on I-220 EB near TWELVEMILE BAYOU Right lane blocked. Expect delays.,I-220,Shreveport,Caddo,LA,2022.0,calibration
A-5697734,Source1,4,2021-04-21 06:49:00,2022-04-21 08:34:00,525705.0,Construction on I-10 WB near US-51 Road closed. Take alternate route.,I-10,Reserve,St John the Baptist,LA,2021.0,validation
A-5929719,Source1,4,2021-03-02 16:58:00,2022-03-02 18:43:00,525705.0,Construction on I-10 WB near LAKE BIGEAUX Road closed. Take alternate route.,I-10 W,Lafayette,Lafayette,LA,2021.0,validation
A-6859620,Source1,2,2020-11-28 00:50:00,2021-11-28 02:35:00,525705.0,Incident on I-10 WB near ACADIAN THWY Left lane blocked.,I-10,Baton Rouge,East Baton Rouge,LA,2020.0,train
A-5940509,Source1,2,2021-10-28 08:57:00,2022-10-28 10:42:00,525705.0,Incident on I-220 WB near CROSS LAKE Left lane blocked.,I-220 W,Shreveport,Caddo,LA,2021.0,validation
A-6127431,Source1,2,2021-05-24 14:35:00,2022-05-24 16:20:00,525705.0,Construction on US-190 WB near LA-983 Road closed. Take alternate route., Highway 190 W,Port Allen,West Baton Rouge,LA,2021.0,validation
A-6244402,Source1,2,2021-04-16 19:02:00,2022-04-16 20:47:00,525705.0,Incident on I-210 WB near I-10 Left lane blocked.,I-210 W,Lake Charles,Calcasieu,LA,2021.0,validation
A-4982208,Source1,2,2022-02-25 13:36:00,2023-02-25 15:21:00,525705.0,Incident on I-10 EB near ST CHARLES ST JOHN THE BAPTIST PARISH LINE Expect long delays.,I-10 E,Kenner,Jefferson,LA,2022.0,calibration
A-6679378,Source1,2,2020-12-10 01:34:00,2021-12-10 03:19:00,525705.0,Incident on I-20 WB near FIFI BAYOU Drive with caution.,I-20 W,Bossier City,Bossier,LA,2020.0,train
A-5644431,Source1,2,2021-05-14 13:33:00,2022-05-14 15:18:00,525705.0,Construction on I-12 EB near US-190 Road closed. Take alternate route.,I-12,Covington,St Tammany,LA,2021.0,validation
A-6350362,Source1,2,2021-01-21 03:21:00,2022-01-21 05:06:00,525705.0,Incident on I-20 EB near TRAFFIC ST Right lane blocked. Expect delays.,I-20 E,Shreveport,Caddo,LA,2021.0,validation
A-6780840,Source1,2,2020-11-26 00:53:00,2021-11-26 02:38:00,525705.0,Incident on US-61 NB near I-12 Left lane blocked.,Airline Hwy,Baton Rouge,East Baton Rouge,LA,2020.0,train
A-5623677,Source1,4,2021-08-16 17:05:00,2022-08-16 18:50:00,525705.0,Construction on US-61 SB near COMMERCE LN Road closed. Take alternate route.,LA-42,Prairieville,Ascension,LA,2021.0,validation
A-6549307,Source1,2,2021-01-01 13:55:00,2022-01-01 15:40:00,525705.0,Incident on I-10 WB near I-610 Left lane blocked.,I-10 W,New Orleans,Orleans,LA,2021.0,validation
A-6464595,Source1,2,2021-02-02 15:58:00,2022-02-02 17:43:00,525705.0,Incident on LA-70 WB near ASCENSION ST JAMES PARISH LINE Left lane blocked.,LA-70,Convent,St James,LA,2021.0,validation
A-4795971,Source1,2,2022-01-13 16:03:00,2023-01-13 17:48:00,525705.0,Incident on I-12 WB near TANGIPAHOA RIVER Right lane blocked. Expect delays.,I-12,Hammond,Tangipahoa,LA,2022.0,calibration
A-5599805,Source1,2,2021-06-10 10:01:00,2022-06-10 11:46:00,525705.0,Incident on I-10 WB near LA-3000 Right lane blocked. Expect delays.,I-10 W,Maringouin,Iberville,LA,2021.0,validation
A-6608470,Source1,2,2020-12-10 23:10:00,2021-12-11 00:55:00,525705.0,Incident on I-55 NB near N PASS Left lane blocked.,I-55 N,Ponchatoula,Tangipahoa,LA,2020.0,train
A-6343025,Source1,2,2021-02-06 19:11:00,2022-02-06 20:56:00,525705.0,Incident on I-12 WB near US-61 Drive with caution.,I-12,Baton Rouge,East Baton Rouge,LA,2021.0,validation
A-6649489,Source1,2,2020-09-23 22:53:00,2021-09-24 00:38:00,525705.0,Incident on I-210 WB near BAYOU CONTRABAND Right lane blocked. Expect delays.,I-210 W,Lake Charles,Calcasieu,LA,2020.0,train
A-6530342,Source1,2,2021-01-22 00:47:00,2022-01-22 02:32:00,525705.0,Incident on US-61 SB near LA-73 Left lane blocked., Airline Hwy,Prairieville,Ascension,LA,2021.0,validation
A-5620031,Source1,2,2021-09-08 17:25:00,2022-09-08 19:10:00,525705.0,Construction on US-90 EB near FOLSE BAYOU Road closed. Take alternate route., Highway 90 E,Des Allemands,Lafourche,LA,2021.0,validation
A-6499317,Source1,2,2021-01-18 00:58:00,2022-01-18 02:43:00,525705.0,Incident on I-10 EB near VETERANS BLVD Right lane blocked. Expect delays.,I-10 E,Metairie,Jefferson,LA,2021.0,validation
A-4783946,Source1,2,2022-01-19 13:35:00,2023-01-19 15:20:00,525705.0,Incident on LA-28 WB near LA-3054 Right lane blocked. Expect delays., Coliseum Blvd,Alexandria,Rapides,LA,2022.0,calibration
A-6718480,Source1,2,2020-10-23 01:39:00,2021-10-23 03:24:00,525705.0,Incident on I-12 EB near TANGIPAHOA RIVER Drive with caution.,I-12 E,Hammond,Tangipahoa,LA,2020.0,train
A-6965258,Source1,2,2020-11-27 07:53:00,2021-11-27 09:38:00,525705.0,Incident on I-10 EB near INNER HARBOR NAVIGATION CANAL Expect long delays.,I-10 E,New Orleans,Orleans,LA,2020.0,train
A-6629370,Source1,2,2020-12-17 04:36:00,2021-12-17 06:21:00,525705.0,Incident on I-55 SB near S SLOUGH Drive with caution.,I-55 S,Ponchatoula,Tangipahoa,LA,2020.0,train
A-6947612,Source1,2,2020-12-08 02:23:00,2021-12-08 04:08:00,525705.0,Incident on I-10 WB near MISSISSIPPI RIVER Drive with caution.,I-10 W,Baton Rouge,East Baton Rouge,LA,2020.0,train
A-6053880,Source1,2,2021-09-28 15:56:00,2022-09-28 17:41:00,525705.0,Construction on US-190 EB near SANCHEZ ST Road closed. Take alternate route.,Airline Hwy,Baton Rouge,East Baton Rouge,LA,2021.0,validation
A-6567386,Source1,2,2021-01-10 07:24:00,2022-01-10 09:09:00,525705.0,Construction on I-10 EB near SUBURBAN CANAL Road closed. Take alternate route.,I-10 E,Metairie,Jefferson,LA,2021.0,validation
A-6328844,Source1,2,2021-11-17 07:53:00,2022-11-17 09:38:00,525705.0,Incident on I-12 WB near LACOMBE BAYOU Left lane blocked.,I-12 W,Lacombe,St. Tammany,LA,2021.0,validation
A-6927799,Source1,2,2020-12-31 23:43:00,2022-01-01 01:28:00,525705.0,Incident on I-12 EB near LA-59 Right lane blocked. Expect delays.,I-12,Covington,St Tammany,LA,2020.0,train
A-4729903,Source1,2,2022-01-04 15:23:00,2023-01-04 17:08:00,525705.0,Incident on I-10 EB near SUBURBAN CANAL Left lane blocked.,I-10 E,Metairie,Jefferson,LA,2022.0,calibration
A-5573923,Source1,2,2021-07-01 12:37:00,2022-07-01 14:22:00,525705.0,Incident on I-10 WB near CITY PARK LAKE Left lane blocked.,I-10,Baton Rouge,East Baton Rouge,LA,2021.0,validation
A-5991629,Source1,2,2021-09-19 18:31:00,2022-09-19 20:16:00,525705.0,Incident on I-10 WB near LA-395 Left lane blocked.,I-10,Welsh,Jefferson Davis,LA,2021.0,validation
A-5890946,Source1,4,2021-12-22 19:14:00,2022-12-22 20:59:00,525705.0,Construction on US-61 NB near VICTORIA DR Road closed. Take alternate route., Airline Hwy,Baton Rouge,East Baton Rouge,LA,2021.0,validation
A-6304725,Source1,2,2021-11-12 17:15:00,2022-11-12 19:00:00,525705.0,Construction on I-12 EB near HOG BRANCH Road closed. Take alternate route.,I-12,Livingston,Livingston,LA,2021.0,validation
A-6566476,Source1,2,2021-02-15 06:15:00,2022-02-15 08:00:00,525705.0,Incident on I-12 WB near LA-1068 Left lane blocked.,I-12 W,Baton Rouge,East Baton Rouge,LA,2021.0,validation
A-5710359,Source1,4,2021-09-30 16:01:00,2022-09-30 17:46:00,525705.0,Construction on I-10 WB near LA-95 Road closed. Take alternate route.,I-10 W,Scott,Acadia,LA,2021.0,validation
A-6174608,Source1,2,2021-05-07 15:06:00,2022-05-07 16:51:00,525705.0,Construction on I-10 EB near ATCHAFALAYA RIVER Road closed. Take alternate route.,I-10,Grosse Tete,Iberville,LA,2021.0,validation
A-4642359,Source1,2,2022-03-16 06:47:00,2023-03-16 08:32:00,525705.0,Incident on I-10 WB near US-51 Left lane blocked.,I-10,Gramercy,St James,LA,2022.0,calibration
A-6382979,Source1,2,2021-01-24 12:36:00,2022-01-24 14:21:00,525705.0,Construction on I-10 WB near VETERANS BLVD Road closed. Take alternate route.,I-10 W,Metairie,Jefferson,LA,2021.0,validation
A-6797968,Source1,2,2020-11-09 19:19:00,2021-11-09 21:04:00,525705.0,Construction on I-10 WB near LA-91 Road closed. Take alternate route.,I-10 W,Crowley,Acadia,LA,2020.0,train
A-6323457,Source1,2,2021-06-18 09:00:00,2022-06-18 10:45:00,525705.0,Incident on I-10 WB near CANAL NO 17 Right lane blocked. Expect delays.,I-10,St Rose,St Charles,LA,2021.0,validation
A-6072001,Source1,4,2021-11-06 21:30:00,2022-11-06 23:15:00,525705.0,Construction on I-55 NB near MANCHAC Road closed. Take alternate route.,I-55 N,LA Place,St. John the Baptist,LA,2021.0,validation
A-5753429,Source1,2,2021-10-31 21:36:00,2022-10-31 23:21:00,525705.0,Construction on I-10 WB near ATCHAFALAYA BASIN MAIN CHANNEL Road closed. Take alternate route.,Bayou Teche Scenic Bywy,Breaux Bridge,St Martin,LA,2021.0,validation
A-6799215,Source1,2,2020-09-12 14:07:00,2021-09-12 15:52:00,525705.0,Incident on I-10 WB near SMITH BAYOU Drive with caution.,I-10 W,Prairieville,Ascension,LA,2020.0,train
A-6791793,Source1,2,2020-10-13 22:11:00,2021-10-13 23:56:00,525705.0,Incident on I-55 NB near MANCHAC Left lane blocked.,US-51 N,LA Place,St. John the Baptist,LA,2020.0,train
A-5773058,Source1,2,2021-11-21 02:34:00,2022-11-21 04:19:00,525705.0,Incident on I-10 EB near MARTIN PARISH LINE Right lane blocked. Expect delays.,I-10,Grosse Tete,Iberville,LA,2021.0,validation
A-6345012,Source1,4,2021-01-31 23:38:00,2022-02-01 01:23:00,525705.0,Construction on I-10 EB near PERKINS RD Road closed. Take alternate route.,I-10,Baton Rouge,East Baton Rouge,LA,2021.0,validation
A-5932709,Source1,2,2021-06-11 15:14:00,2022-06-11 16:59:00,525705.0,Incident on I-210 EB near BROAD ST Left lane blocked.,I-210,Lake Charles,Calcasieu,LA,2021.0,validation
A-6099862,Source1,2,2021-09-09 16:01:00,2022-09-09 17:46:00,525705.0,Incident on I-10 WB near MISSISSIPPI RIVER Expect long delays.,I-10,Baton Rouge,East Baton Rouge,LA,2021.0,validation
A-5664295,Source1,2,2021-06-07 08:03:00,2022-06-07 09:48:00,525705.0,Incident on LA-488 WB near BRUYNINCKX RD Drive with caution., Twin Bridges Rd,Alexandria,Rapides,LA,2021.0,validation
A-5771859,Source1,2,2021-09-18 05:45:00,2022-09-18 07:30:00,525705.0,Incident on I-10 EB near OLD NEW RIVER Left lane blocked.,I-10,Laplace,St John the Baptist,LA,2021.0,validation
A-6648634,Source1,2,2020-10-27 02:57:00,2021-10-27 04:42:00,525705.0,Construction on US-61 NB near BLOUNT RD Road closed. Take alternate route.,Scenic Hwy,Baton Rouge,East Baton Rouge,LA,2020.0,train
A-5671662,Source1,2,2021-10-08 16:43:00,2022-10-08 18:28:00,525705.0,Incident on I-10 EB near COON GULLY Left lane blocked.,I-10 E,Sulphur,Calcasieu,LA,2021.0,validation
A-3789239,Source1,2,2022-02-04 16:37:00,2023-02-04 18:22:00,525705.0,Incident on I-55 SB near RUDDOCK Right lane blocked. Expect delays.,I-55,Laplace,St John the Baptist,LA,2022.0,calibration
A-4026935,Source1,4,2022-02-12 06:49:00,2023-02-12 08:34:00,525705.0,Construction on I-10 WB near D'LNDE BAYOU Road closed. Take alternate route.,I-10,Sulphur,Calcasieu,LA,2022.0,calibration
A-6427821,Source1,2,2021-01-19 01:19:00,2022-01-19 03:04:00,525705.0,Incident on I-10 EB near OPELOUSAS ST Expect long delays.,US-90 E,Lake Charles,Calcasieu,LA,2021.0,validation
A-5676353,Source1,2,2021-09-24 00:47:00,2022-09-24 02:32:00,525705.0,Incident on I-10 EB near LAKE PONTCHARTRAIN Expect long delays.,I-10 E,New Orleans,St. Tammany,LA,2021.0,validation
A-5749164,Source1,2,2021-09-15 10:57:00,2022-09-15 12:42:00,525705.0,Construction on I-10 EB near LA-1 Road closed. Take alternate route.,I-10 E,Port Allen,West Baton Rouge,LA,2021.0,validation
A-6901282,Source1,2,2020-12-24 01:52:00,2021-12-24 03:37:00,525705.0,Incident on I-10 EB near LA-3188 Left lane blocked.,I-10 E,Saint Rose,St. Charles,LA,2020.0,train
A-6074812,Source1,2,2021-07-16 04:57:00,2022-07-16 06:42:00,525705.0,Construction on US-63 SB near LA-9 Road closed. Take alternate route., E 4th St,Lillie,Union,LA,2021.0,validation
A-6675357,Source1,2,2020-10-26 00:48:00,2021-10-26 02:33:00,525705.0,Incident on I-20 EB near JEWELLA AVE Drive with caution.,I-20 E,Shreveport,Caddo,LA,2020.0,train
